"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","structure.c.24.37..24.72..25.075..25.425..25.78..26.13..26.47..","structure.c.18.568..19.0795..19.619..20.18..20.7295..21.22925..","structure.c.29.421..29.6505..29.87025..30.0805..30.2805..30.49025..","structure.c.18.455..19.005..19.535..20.06..20.59..21.105..21.62..","structure.c.14.13975..14.9..15.649..16.389..17.0995..17.77975..","structure.c.21.641..22.0705..22.5005..22.91..23.31..23.72..24.12.."
"178",17.7,60.88,57.638,65.85,69.215,65.78775,72.04025
"179",17.8,60.99,57.69875,66.04025,69.35,65.88775,72.15125
"180",17.9,61.09,57.7595,66.23075,69.49,65.9585,72.2515
"181",18,61.2,57.82,66.42025,69.61,66.01925,72.37125
"182",18.1,61.305,57.90925,66.60025,69.745,66.11925,72.50075
"183",18.2,61.41,57.98875,66.7805,69.87,66.268,72.63025
"184",18.3,61.51,58.039,66.951,70,66.358,72.75
"185",18.4,61.615,58.09,67.15075,70.13,66.44825,72.871
"186",18.5,61.715,58.17,67.3505,70.26,66.53875,73.0015
"187",18.6,61.82,58.24925,67.55025,70.39,66.61975,73.122
"188",18.7,61.925,58.309,67.75,70.51,66.7185,73.2425
"189",18.8,62.03,58.35925,67.94025,70.63,66.7985,73.363
"190",18.9,62.14,58.40925,68.1305,70.76,66.87875,73.50275
"191",19,62.24,58.45925,68.3205,70.88,66.9395,73.65225
"192",19.1,62.355,58.519,68.4905,70.995,67.00975,73.79125
"193",19.2,62.46,58.569,68.64125,71.12,67.099,73.9305
"194",19.3,62.555,58.61875,68.7825,71.22,67.1885,74.0605
"195",19.4,62.655,58.66875,68.9335,71.32,67.269,74.16025
"196",19.5,62.74,58.71875,69.11375,71.44,67.3395,74.2505
"197",19.6,62.84,58.759,69.3135,71.56,67.42,74.331
"198",19.7,62.93,58.80875,69.513,71.67,67.51,74.4505
"199",19.8,63.03,58.85875,69.71275,71.79,67.6,74.57025
"200",19.9,63.12,58.9085,69.9125,71.91,67.69,74.69
"201",20,63.205,58.94875,70.112,72.02,67.77975,74.8005
