"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.19.18..19.74..20.275..20.8..21.325..21.87..22.385..22.895..","c.4.386..5.78..7.27..8.65925..10.0865..11.444..12.48875..13.616..","c.28.0505..28.29025..28.52025..28.76025..28.9705..29.2005..29.4305..","c.27.445..27.705..27.98..28.23..28.48..28.72..28.98..29.23..29.49..","c.18.67775..19.22..19.84..20.44875..21.0475..21.63625..22.098..","c.31.47125..31.66125..31.85125..32.051..32.25075..32.45025..32.65..","c.23.795..24.22..24.645..25.06..25.47..25.88..26.28..26.645..","c..0.23125..0.9675..2.13625..3.2755..4.4045..5.5035..6.58275..","c.34.67375..34.84325..35.00325..35.163..35.3425..35.54125..35.74025.."
"177",17.6,54.915,45.98475,64.65275,63.09,55.1195,67.69,59.62,56.65975,64.841
"178",17.7,54.96,45.98475,64.8325,63.25,55.16975,67.9,59.695,56.68975,65.001
"179",17.8,55.01,45.985,65.0025,63.42,55.21975,68.11025,59.77,56.72,65.151
"180",17.9,55.045,45.99475,65.1825,63.59,55.2795,68.32075,59.85,56.76,65.3105
"181",18,55.095,45.99475,65.36225,63.74,55.339,68.52125,59.925,56.79975,65.46025
"182",18.1,55.14,45.995,65.53225,63.89,55.38875,68.7315,60,56.83,65.6205
"183",18.2,55.19,45.995,65.70225,64.035,55.44825,68.9415,60.07,56.86975,65.771
"184",18.3,55.23,45.995,65.882,64.185,55.50775,69.1515,60.14,56.89975,65.93125
"185",18.4,55.275,45.99525,66.052,64.34,55.5575,69.371,60.21,56.9395,66.08175
"186",18.5,55.305,46.005,66.222,64.5,55.617,69.581,60.29,56.9695,66.2325
"187",18.6,55.355,46.005,66.41075,64.65,55.66675,69.8005,60.37,56.9995,66.38275
"188",18.7,55.405,46.00525,66.571,64.81,55.72625,70.02,60.43,57.039,66.54275
"189",18.8,55.445,46.00525,66.7415,64.96,55.776,70.21025,60.5,57.069,66.693
"190",18.9,55.49,46.00525,66.911,65.105,55.8355,70.43,60.59,57.099,66.84325
"191",19,55.535,46.00525,67.0805,65.24,55.885,70.64,60.66,57.12875,66.99325
"192",19.1,55.575,46.0055,67.25,65.36,55.93475,70.85,60.735,57.15875,67.1435
"193",19.2,55.615,46.0055,67.4005,65.5,55.9845,71.06,60.8,57.189,67.29375
"194",19.3,55.665,46.0055,67.551,65.67,56.04375,71.28,60.88,57.219,67.44375
"195",19.4,55.71,46.01525,67.71125,65.815,56.0935,71.49,60.945,57.249,67.594
"196",19.5,55.75,46.01525,67.88125,65.97,56.14325,71.7,61.01,57.26925,67.74425
"197",19.6,55.79,46.0155,68.05125,66.13,56.193,71.91025,61.075,57.29925,67.8845
"198",19.7,55.83,46.0155,68.22125,66.28,56.243,72.12025,61.135,57.3195,68.0345
"199",19.8,55.865,46.0155,68.3815,66.435,56.29275,72.33025,61.195,57.33975,68.1845
"200",19.9,55.895,46.0155,68.55125,66.585,56.3425,72.55,61.265,57.36,68.33425
"201",20,55.93,46.01575,68.721,66.73,56.38275,72.76,61.325,57.39,68.4745
"202",20.1,55.95,46.01575,68.89075,66.87,56.40325,72.97,61.405,57.41,68.62425
"203",20.2,55.975,46.016,69.05075,67.005,56.4335,73.18,61.475,57.43,68.77425
"204",20.3,56,46.016,69.2205,67.15,56.454,73.39,61.535,57.45,68.924
"205",20.4,56.045,46.01625,69.39025,67.285,56.48425,73.6,61.595,57.47,69.07375
"206",20.5,56.07,46.026,69.55,67.42,56.50475,73.81,61.665,57.49,69.22375
"207",20.6,56.1,46.02625,69.71025,67.53,56.52525,74.02,61.72,57.51,69.3735
"208",20.7,56.13,46.0265,69.87025,67.675,56.5555,74.23,61.78,57.53,69.5135
"209",20.8,56.18,46.0265,70.02075,67.83,56.576,74.44,61.84,57.55,69.66325
"210",20.9,56.22,46.02675,70.18075,67.97,56.5965,74.65,61.905,57.57,69.813
"211",21,56.245,46.02675,70.34075,68.115,56.617,74.86,61.96,57.59,69.96275
"212",21.1,56.27,46.027,70.49125,68.255,56.6375,75.07,62.02,57.61,70.1125
"213",21.2,56.295,46.02725,70.65125,68.385,56.65775,75.28,62.085,57.62,70.2525
"214",21.3,56.32,46.02725,70.8015,68.52,56.67825,75.49,62.135,57.64,70.40225
"215",21.4,56.36,46.0275,70.96125,68.66,56.69875,75.7,62.19,57.66,70.552
"216",21.5,56.39,46.0275,71.11125,68.81,56.719,75.9,62.24,57.68,70.692
"217",21.6,56.415,46.02775,71.26125,68.97,56.7395,76.11,62.28,57.69,70.8415
"218",21.7,56.435,46.02775,71.421,69.125,56.76,76.32,62.32,57.71,70.9815
"219",21.8,56.46,46.028,71.57075,69.26,56.78,76.53,62.37,57.72,71.13125
"220",21.9,56.485,46.028,71.74025,69.4,56.8,76.74,62.42,57.74,71.271
"221",22,56.51,46.02825,71.9005,69.54,56.82,76.95,62.49,57.76,71.42075
"222",22.1,56.53,46.02825,72.0415,69.68,56.84,77.15,62.54,57.77,71.5605
"223",22.2,56.55,46.0285,72.192,69.815,56.85,77.36,62.585,57.79,71.7005
"224",22.3,56.57,46.0285,72.33225,69.94,56.87,77.57,62.635,57.8,71.84025
"225",22.4,56.6,46.02875,72.4825,70.06,56.89,77.78,62.69,57.81,71.98025
"226",22.5,56.62,46.02875,72.6325,70.185,56.91,77.98,62.75,57.83,72.13
"227",22.6,56.64,46.02875,72.7825,70.335,56.92,78.19,62.815,57.84,72.27025
"228",22.7,56.66,46.03875,72.9325,70.49,56.94,78.4,62.865,57.85,72.41075
"229",22.8,56.675,46.03875,73.0825,70.635,56.96,78.6,62.92,57.87,72.551
"230",22.9,56.69,46.039,73.22275,70.78,56.97,78.81,62.97,57.88,72.69125
"231",23,56.715,46.039,73.37275,70.905,56.99,79.02,63.02,57.89,72.83175
"232",23.1,56.735,46.039,73.52275,71.025,57,79.23,63.08,57.91,72.972
"233",23.2,56.76,46.03925,73.702,71.145,57.02,79.44,63.14,57.92,73.11225
"234",23.3,56.785,46.03925,73.88125,71.275,57.03,79.66,63.195,57.93,73.2525
"235",23.4,56.805,46.0395,74.0605,71.405,57.05,79.87,63.25,57.94,73.393
"236",23.5,56.82,46.0395,74.2305,71.54,57.06,80.09,63.3,57.95,73.53325
"237",23.6,56.845,46.0395,74.38075,71.68,57.08,80.3,63.355,57.97,73.6735
"238",23.7,56.87,46.03975,74.521,71.81,57.09,80.52,63.4,57.98,73.804
"239",23.8,56.895,46.03975,74.67075,71.94,57.1,80.73,63.46,57.99,73.94425
"240",23.9,56.91,46.03975,74.82075,72.07,57.12,80.94,63.51,58,74.0845
"241",24,56.935,46.04,74.99,72.2,57.13975,81.13,63.545,58.01,74.22475
"242",24.1,56.95,46.04,75.14075,72.325,57.1595,81.31,63.59,58.02,74.3555
"243",24.2,56.965,46.04,75.28125,72.45,57.18925,81.5,63.635,58.03,74.49575
"244",24.3,56.985,46.04,75.43075,72.585,57.209,81.69,63.685,58.04,74.62625
"245",24.4,57.015,46.04,75.5705,72.71,57.22875,81.89,63.735,58.05,74.7665
"246",24.5,57.045,46.04,75.71025,72.845,57.23875,82.09,63.78,58.06,74.89675
"247",24.6,57.065,46.04,75.8405,72.955,57.249,82.3,63.82,58.07,75.03675
"248",24.7,57.08,46.04,75.97075,73.06,57.24925,82.5,63.86,58.08,75.16675
"249",24.8,57.1,46.04,76.1205,73.17,57.25925,82.7,63.905,58.09,75.297
"250",24.9,57.115,46.04,76.2605,73.29,57.26925,82.91,63.95,58.1,75.43675
"251",25,57.125,46.04,76.41025,73.415,57.2695,83.11,63.995,58.1,75.56675
"252",25.1,57.145,46.04,76.57,73.54,57.2795,83.31,64.04,58.11,75.697
"253",25.2,57.155,46.04,76.71075,73.655,57.2895,83.52,64.085,58.12,75.83675
"254",25.3,57.17,46.04,76.85125,73.77,57.28975,83.72,64.12,58.13,75.96675
"255",25.4,57.185,46.04,76.992,73.885,57.29975,83.92,64.155,58.14,76.09675
"256",25.5,57.195,46.04,77.13275,74,57.31,84.13,64.195,58.15,76.227
"257",25.6,57.205,46.04,77.27325,74.11,57.32,84.33,64.23,58.15,76.357
"258",25.7,57.25,46.04,77.40425,74.22,57.33,84.53,64.27,58.16,76.487
"259",25.8,57.265,46.04,77.54475,74.325,57.34,84.74,64.31,58.17,76.617
"260",25.9,57.285,46.04,77.695,74.44,57.35,84.95,64.365,58.18,76.747
"261",26,57.295,46.04,77.865,74.545,57.35,85.15,64.41,58.18,76.877
"262",26.1,57.31,46.04,78.025,74.655,57.36,85.36,64.445,58.19,77.007
"263",26.2,57.34,46.04,78.19425,74.76,57.37975,85.56,64.48,58.2,77.137
"264",26.3,57.37,46.04,78.35375,74.88,57.38975,85.75,64.52,58.2,77.267
"265",26.4,57.385,46.04,78.52325,74.99,57.4095,85.94,64.565,58.21,77.397
"266",26.5,57.4,46.04,78.68275,75.105,57.4195,86.14,64.6,58.22,77.527
"267",26.6,57.42,46.04,78.852,75.23,57.4295,86.34,64.64,58.22,77.64725
"268",26.7,57.435,46.04,79.0115,75.35,57.44925,86.54,64.68,58.23,77.777
"269",26.8,57.45,46.04,79.18075,75.465,57.45925,86.75,64.72,58.24,77.907
"270",26.9,57.46,46.04,79.34025,75.59,57.469,86.95,64.745,58.24,78.02725
"271",27,57.46,46.04,79.50025,75.72,57.48875,87.15,64.775,58.25,78.157
