"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.9.845..10.99..12.045..13.13..14.15..15.2..16.175..17.14..18.08..","c..4.991...2.46...0.06..2.2765..4.4545..6.52225..8.43175..10.2055..","c.18.64025..19.11025..19.58..20.0525..20.55275..21.12025..21.62225..","c.24.88..25.275..25.655..26.045..26.43..26.785..27.165..27.56..","c..4.72...3.06...0.862249999999999..0.4325..1.6995..3.17..4.97125..","c.29.781..30.08025..30.3105..30.55075..30.83025..31.15025..31.42125..","c.29..29.315..29.635..29.955..30.335..30.68..30.995..31.305..","c..32.17275...29.96575...27.80875...25.702...23.6355...21.6095..","c.45.81..45.94..46.07..46.19025..46.32025..46.4405..46.5705.."
"85",8.4,48.325,43.2595,53.9335,50.835,47.53,54.28,52.69,48.98925,57.121
"86",8.5,48.43,43.2895,54.311,51.095,47.75,54.52,52.92,49.22,57.24175
"87",8.6,48.54,43.31925,54.58,51.34,47.97975,54.71,53.165,49.48,57.454
"88",8.7,48.66,43.3395,54.87025,51.57,48.268,54.9,53.4,49.75925,57.7115
"89",8.8,48.79,43.3595,55.191,51.81,48.55625,55.08,53.615,49.97,57.91125
"90",8.9,48.905,43.38925,55.51075,52.035,48.83475,55.26,53.83,50.18,58.04125
"91",9,49,43.40925,55.83,52.25,49.0645,55.48075,54.05,50.38,58.2215
"92",9.1,49.09,43.4295,56.14125,52.47,49.2845,55.643,54.275,50.60975,58.4125
"93",9.2,49.185,43.4495,56.411,52.7,49.514,55.922,54.49,50.84925,58.68
"94",9.3,49.28,43.45975,56.65275,52.92,49.74375,56.19025,54.73,51.069,58.823
"95",9.4,49.36,43.47975,57.0115,53.13,49.96375,56.39,54.94,51.29,59.051
"96",9.5,49.44,43.49975,57.331,53.36,50.1935,56.581,55.145,51.55975,59.2605
"97",9.6,49.53,43.51,57.58225,53.6,50.4135,56.791,55.36,51.7895,59.50025
